Season,Team,Head Coach,Race,Result,Wins,Losses,Ties
1972,San Francisco 49ers,Dick Nolan,White,Lost Divisional Round,8,5,1
1986,San Francisco 49ers,Bill Walsh,White,Lost Divisional Round,10,5,1
1987,San Francisco 49ers,Bill Walsh,White,Lost Divisional Round,13,2,0
1995,San Francisco 49ers,George Seifert,White,Lost Divisional Round,11,5,0
1996,San Francisco 49ers,George Seifert,White,Lost Divisional Round,12,4,0
1998,San Francisco 49ers,Steve Mariucci,White,Lost Divisional Round,12,4,0
2002,San Francisco 49ers,Steve Mariucci,White,Lost Divisional Round,10,6,0
1981,Tampa Bay Buccaneers,John McKay,White,Lost Divisional Round,9,7,0
1997,Tampa Bay Buccaneers,Tony Dungy,Non-White,Lost Divisional Round,10,6,0
1971,Washington Redskins,George Allen,White,Lost Divisional Round,9,4,1
1973,Washington Redskins,George Allen,White,Lost Divisional Round,10,4,0
1974,Washington Redskins,George Allen,White,Lost Divisional Round,10,4,0
1976,Washington Redskins,George Allen,White,Lost Divisional Round,10,4,0
1984,Washington Redskins,Joe Gibbs,White,Lost Divisional Round,11,5,0
1990,Washington Redskins,Joe Gibbs,White,Lost Divisional Round,10,6,0
1992,Washington Redskins,Joe Gibbs,White,Lost Divisional Round,9,7,0
1999,Washington Redskins,Norv Turner,White,Lost Divisional Round,10,6,0
2005,Washington Redskins,Joe Gibbs,White,Lost Divisional Round,10,6,0
1998,Atlanta Falcons,Dan Reeves,White,Lost Super Bowl,14,2,0
2016,Atlanta Falcons,Dan Quinn,White,Lost Super Bowl,11,5,0
1990,Buffalo Bills,Marv Levy,White,Lost Super Bowl,13,3,0
1991,Buffalo Bills,Marv Levy,White,Lost Super Bowl,13,3,0
1992,Buffalo Bills,Marv Levy,White,Lost Super Bowl,11,5,0
1993,Buffalo Bills,Marv Levy,White,Lost Super Bowl,12,4,0
2003,Carolina Panthers,John Fox,White,Lost Super Bowl,11,5,0
2015,Carolina Panthers,Ron Rivera,Non-White,Lost Super Bowl,15,1,0
2006,Chicago Bears,Lovie Smith,Non-White,Lost Super Bowl,13,3,0
1981,Cincinnati Bengals,Forrest Gregg,White,Lost Super Bowl,12,4,0
1988,Cincinnati Bengals,Sam Wyche,White,Lost Super Bowl,12,4,0
1968,Indianapolis Colts,Don Shula,White,Lost Super Bowl,13,1,0
2009,Indianapolis Colts,Jim Caldwell,Non-White,Lost Super Bowl,14,2,0
2008,Arizona Cardinals,Ken Whisenhunt,White,Lost Super Bowl,9,7,0
1970,Dallas Cowboys,Tom Landry,White,Lost Super Bowl,10,4,0
1975,Dallas Cowboys,Tom Landry,White,Lost Super Bowl,10,4,0
1978,Dallas Cowboys,Tom Landry,White,Lost Super Bowl,12,4,0
1977,Denver Broncos,Red Miller,White,Lost Super Bowl,12,2,0
1986,Denver Broncos,Dan Reeves,White,Lost Super Bowl,11,5,0
1987,Denver Broncos,Dan Reeves,White,Lost Super Bowl,10,4,1
1989,Denver Broncos,Dan Reeves,White,Lost Super Bowl,11,5,0
2013,Denver Broncos,John Fox,White,Lost Super Bowl,13,3,0
1997,Green Bay Packers,Mike Holmgren,White,Lost Super Bowl,13,3,0
1966,Kansas City Chiefs,Hank Stram,White,Lost Super Bowl,11,2,1
1971,Miami Dolphins,Don Shula,White,Lost Super Bowl,10,3,1
1982,Miami Dolphins,Don Shula,White,Lost Super Bowl,7,2,0
1984,Miami Dolphins,Don Shula,White,Lost Super Bowl,14,2,0
1969,Minnesota Vikings,Bud Grant,White,Lost Super Bowl,12,2,0
1973,Minnesota Vikings,Bud Grant,White,Lost Super Bowl,12,2,0
1974,Minnesota Vikings,Bud Grant,White,Lost Super Bowl,10,4,0
1976,Minnesota Vikings,Bud Grant,White,Lost Super Bowl,11,2,1
1985,New England Patriots,Raymond Berry,White,Lost Super Bowl,11,5,0
1996,New England Patriots,Bill Parcells,White,Lost Super Bowl,11,5,0
2007,New England Patriots,Bill Belichick,White,Lost Super Bowl,16,0,0
2011,New England Patriots,Bill Belichick,White,Lost Super Bowl,13,3,0
2017,New England Patriots,Bill Belichick,White,Lost Super Bowl,13,3,0
2000,New York Giants,Jim Fassel,White,Lost Super Bowl,12,4,0
1999,Tennessee Titans,Jeff Fisher,White,Lost Super Bowl,13,3,0
1980,Philadelphia Eagles,Dick Vermeil,White,Lost Super Bowl,12,4,0
2004,Philadelphia Eagles,Andy Reid,White,Lost Super Bowl,13,3,0
1995,Pittsburgh Steelers,Bill Cowher,White,Lost Super Bowl,11,5,0
2010,Pittsburgh Steelers,Mike Tomlin,Non-White,Lost Super Bowl,12,4,0
1967,Oakland Raiders,John Rauch,White,Lost Super Bowl,13,1,0
2002,Oakland Raiders,Bill Callahan,White,Lost Super Bowl,11,5,0
2001,Los Angeles Rams,Mike Martz,White,Lost Super Bowl,14,2,0
2018,Los Angeles Rams,Sean McVay,White,Lost Super Bowl,13,3,0
1994,Los Angeles Chargers,Bobby Ross,White,Lost Super Bowl,11,5,0
2005,Seattle Seahawks,Mike Holmgren,White,Lost Super Bowl,13,3,0
2014,Seattle Seahawks,Pete Carroll,White,Lost Super Bowl,12,4,0
2012,San Francisco 49ers,Jim Harbaugh,White,Lost Super Bowl,11,4,1
1972,Washington Redskins,George Allen,White,Lost Super Bowl,11,3,0
1983,Washington Redskins,Joe Gibbs,White,Lost Super Bowl,14,2,0
1982,Atlanta Falcons,Leeman Bennett,White,Lost Wild Card,5,4,0
1995,Atlanta Falcons,June Jones,White,Lost Wild Card,9,7,0
2008,Atlanta Falcons,Mike Smith,White,Lost Wild Card,11,5,0
2011,Atlanta Falcons,Mike Smith,White,Lost Wild Card,10,6,0
1996,Buffalo Bills,Marv Levy,White,Lost Wild Card,10,6,0
1998,Buffalo Bills,Wade Phillips,White,Lost Wild Card,10,6,0
1999,Buffalo Bills,Wade Phillips,White,Lost Wild Card,11,5,0
2017,Buffalo Bills,Sean McDermott,White,Lost Wild Card,9,7,0
2019,Buffalo Bills,Sean McDermott,White,Lost Wild Card,10,6,0
2017,Carolina Panthers,Ron Rivera,Non-White,Lost Wild Card,11,5,0
1979,Chicago Bears,Neill Armstrong,White,Lost Wild Card,10,6,0
1991,Chicago Bears,Mike Ditka,White,Lost Wild Card,11,5,0
2018,Chicago Bears,Matt Nagy,White,Lost Wild Card,12,4,0
1982,Cincinnati Bengals,Forrest Gregg,White,Lost Wild Card,7,2,0
2005,Cincinnati Bengals,Marvin Lewis,Non-White,Lost Wild Card,11,5,0
2009,Cincinnati Bengals,Marvin Lewis,Non-White,Lost Wild Card,10,6,0
2011,Cincinnati Bengals,Marvin Lewis,Non-White,Lost Wild Card,9,7,0
2012,Cincinnati Bengals,Marvin Lewis,Non-White,Lost Wild Card,10,6,0
2013,Cincinnati Bengals,Marvin Lewis,Non-White,Lost Wild Card,11,5,0
2014,Cincinnati Bengals,Marvin Lewis,Non-White,Lost Wild Card,10,5,1
2015,Cincinnati Bengals,Marvin Lewis,Non-White,Lost Wild Card,12,4,0
1982,Cleveland Browns,Sam Rutigliano,White,Lost Wild Card,4,5,0
1988,Cleveland Browns,Marty Schottenheimer,White,Lost Wild Card,10,6,0
2002,Cleveland Browns,Butch Davis,White,Lost Wild Card,9,7,0
1996,Indianapolis Colts,Lindy Infante,White,Lost Wild Card,9,7,0
2000,Indianapolis Colts,Jim Mora,White,Lost Wild Card,10,6,0
2002,Indianapolis Colts,Tony Dungy,Non-White,Lost Wild Card,10,6,0
2008,Indianapolis Colts,Tony Dungy,Non-White,Lost Wild Card,12,4,0
2010,Indianapolis Colts,Jim Caldwell,Non-White,Lost Wild Card,10,6,0
2012,Indianapolis Colts,Chuck Pagano,White,Lost Wild Card,11,5,0
1982,Arizona Cardinals,Jim Hanifan,White,Lost Wild Card,5,4,0
2014,Arizona Cardinals,Bruce Arians,White,Lost Wild Card,11,5,0
1983,Dallas Cowboys,Tom Landry,White,Lost Wild Card,12,4,0
1998,Dallas Cowboys,Chan Gailey,White,Lost Wild Card,10,6,0
1999,Dallas Cowboys,Chan Gailey,White,Lost Wild Card,8,8,0
2003,Dallas Cowboys,Bill Parcells,White,Lost Wild Card,10,6,0
2006,Dallas Cowboys,Bill Parcells,White,Lost Wild Card,9,7,0
1979,Denver Broncos,Red Miller,White,Lost Wild Card,10,6,0
1983,Denver Broncos,Dan Reeves,White,Lost Wild Card,9,7,0
1993,Denver Broncos,Wade Phillips,White,Lost Wild Card,9,7,0
2000,Denver Broncos,Mike Shanahan,White,Lost Wild Card,11,5,0
2003,Denver Broncos,Mike Shanahan,White,Lost Wild Card,10,6,0
2004,Denver Broncos,Mike Shanahan,White,Lost Wild Card,10,6,0
1982,Detroit Lions,Monte Clark,White,Lost Wild Card,4,5,0
1993,Detroit Lions,Wayne Fontes,White,Lost Wild Card,10,6,0
1994,Detroit Lions,Wayne Fontes,White,Lost Wild Card,9,7,0
1995,Detroit Lions,Wayne Fontes,White,Lost Wild Card,10,6,0
1997,Detroit Lions,Bobby Ross,White,Lost Wild Card,9,7,0
1999,Detroit Lions,Bobby Ross,White,Lost Wild Card,8,8,0
2011,Detroit Lions,Jim Schwartz,White,Lost Wild Card,10,6,0
2014,Detroit Lions,Jim Caldwell,Non-White,Lost Wild Card,11,5,0
2016,Detroit Lions,Jim Caldwell,Non-White,Lost Wild Card,9,7,0
1998,Green Bay Packers,Mike Holmgren,White,Lost Wild Card,11,5,0
2002,Green Bay Packers,Mike Sherman,White,Lost Wild Card,12,4,0
2004,Green Bay Packers,Mike Sherman,White,Lost Wild Card,10,6,0
2009,Green Bay Packers,Mike McCarthy,White,Lost Wild Card,11,5,0
2013,Green Bay Packers,Mike McCarthy,White,Lost Wild Card,8,7,1
2015,Houston Texans,Bill O'Brien,White,Lost Wild Card,9,7,0
2018,Houston Texans,Bill O'Brien,White,Lost Wild Card,11,5,0
1997,Jacksonville Jaguars,Tom Coughlin,White,Lost Wild Card,11,5,0
2005,Jacksonville Jaguars,Jack Del Rio,White,Lost Wild Card,12,4,0
1986,Kansas City Chiefs,John Mackovic,White,Lost Wild Card,10,6,0
1990,Kansas City Chiefs,Marty Schottenheimer,White,Lost Wild Card,11,5,0
1992,Kansas City Chiefs,Marty Schottenheimer,White,Lost Wild Card,10,6,0
1994,Kansas City Chiefs,Marty Schottenheimer,White,Lost Wild Card,9,7,0
2006,Kansas City Chiefs,Herm Edwards,Non-White,Lost Wild Card,9,7,0
2010,Kansas City Chiefs,Todd Haley,White,Lost Wild Card,10,6,0
2013,Kansas City Chiefs,Andy Reid,White,Lost Wild Card,11,5,0
2017,Kansas City Chiefs,Andy Reid,White,Lost Wild Card,10,6,0
1978,Miami Dolphins,Don Shula,White,Lost Wild Card,11,5,0
1995,Miami Dolphins,Don Shula,White,Lost Wild Card,9,7,0
1997,Miami Dolphins,Jimmy Johnson,White,Lost Wild Card,9,7,0
2001,Miami Dolphins,Dave Wannstedt,White,Lost Wild Card,11,5,0
2008,Miami Dolphins,Tony Sparano,White,Lost Wild Card,11,5,0
2016,Miami Dolphins,Adam Gase,White,Lost Wild Card,10,6,0
1992,Minnesota Vikings,Dennis Green,Non-White,Lost Wild Card,11,5,0
1993,Minnesota Vikings,Dennis Green,Non-White,Lost Wild Card,9,7,0
1994,Minnesota Vikings,Dennis Green,Non-White,Lost Wild Card,10,6,0
1996,Minnesota Vikings,Dennis Green,Non-White,Lost Wild Card,9,7,0
2008,Minnesota Vikings,Brad Childress,White,Lost Wild Card,10,6,0
2012,Minnesota Vikings,Leslie Frazier,Non-White,Lost Wild Card,10,6,0
2015,Minnesota Vikings,Mike Zimmer,White,Lost Wild Card,11,5,0
1987,New Orleans Saints,Jim Mora,White,Lost Wild Card,12,3,0
1990,New Orleans Saints,Jim Mora,White,Lost Wild Card,8,8,0
1991,New Orleans Saints,Jim Mora,White,Lost Wild Card,11,5,0
1992,New Orleans Saints,Jim Mora,White,Lost Wild Card,12,4,0
2010,New Orleans Saints,Sean Payton,White,Lost Wild Card,11,5,0
2019,New Orleans Saints,Sean Payton,White,Lost Wild Card,13,3,0
1982,New England Patriots,Ron Meyer,White,Lost Wild Card,5,4,0
1994,New England Patriots,Bill Parcells,White,Lost Wild Card,10,6,0
1998,New England Patriots,Pete Carroll,White,Lost Wild Card,9,7,0
2009,New England Patriots,Bill Belichick,White,Lost Wild Card,10,6,0
2019,New England Patriots,Bill Belichick,White,Lost Wild Card,12,4,0
1997,New York Giants,Jim Fassel,White,Lost Wild Card,10,5,1
2002,New York Giants,Jim Fassel,White,Lost Wild Card,10,6,0
2005,New York Giants,Tom Coughlin,White,Lost Wild Card,11,5,0
2006,New York Giants,Tom Coughlin,White,Lost Wild Card,8,8,0
2016,New York Giants,Ben McAdoo,White,Lost Wild Card,11,5,0
1981,New York Jets,Walt Michaels,White,Lost Wild Card,10,5,1
1985,New York Jets,Joe Walton,White,Lost Wild Card,11,5,0
1991,New York Jets,Bruce Coslet,White,Lost Wild Card,8,8,0
2001,New York Jets,Herm Edwards,Non-White,Lost Wild Card,10,6,0
2006,New York Jets,Eric Mangini,White,Lost Wild Card,10,6,0
1980,Tennessee Titans,Bum Phillips,White,Lost Wild Card,11,5,0
1989,Tennessee Titans,Jerry Glanville,White,Lost Wild Card,9,7,0
1990,Tennessee Titans,Jack Pardee,White,Lost Wild Card,9,7,0
1992,Tennessee Titans,Jack Pardee,White,Lost Wild Card,10,6,0
2007,Tennessee Titans,Jeff Fisher,White,Lost Wild Card,10,6,0
1978,Philadelphia Eagles,Dick Vermeil,White,Lost Wild Card,9,7,0
1981,Philadelphia Eagles,Dick Vermeil,White,Lost Wild Card,10,6,0
1989,Philadelphia Eagles,Buddy Ryan,White,Lost Wild Card,11,5,0
1990,Philadelphia Eagles,Buddy Ryan,White,Lost Wild Card,10,6,0
1996,Philadelphia Eagles,Ray Rhodes,Non-White,Lost Wild Card,10,6,0
2009,Philadelphia Eagles,Andy Reid,White,Lost Wild Card,11,5,0
2010,Philadelphia Eagles,Andy Reid,White,Lost Wild Card,10,6,0
2013,Philadelphia Eagles,Chip Kelly,White,Lost Wild Card,10,6,0
2019,Philadelphia Eagles,Doug Pederson,White,Lost Wild Card,9,7,0
1982,Pittsburgh Steelers,Chuck Noll,White,Lost Wild Card,6,3,0
1993,Pittsburgh Steelers,Bill Cowher,White,Lost Wild Card,9,7,0
2007,Pittsburgh Steelers,Mike Tomlin,Non-White,Lost Wild Card,10,6,0
2011,Pittsburgh Steelers,Mike Tomlin,Non-White,Lost Wild Card,12,4,0
2014,Pittsburgh Steelers,Mike Tomlin,Non-White,Lost Wild Card,11,5,0
1984,Oakland Raiders,Tom Flores,Non-White,Lost Wild Card,11,5,0
1991,Oakland Raiders,Art Shell,Non-White,Lost Wild Card,9,7,0
2016,Oakland Raiders,Jack Del Rio,White,Lost Wild Card,12,4,0
1984,Los Angeles Rams,John Robinson,White,Lost Wild Card,10,6,0
1986,Los Angeles Rams,John Robinson,White,Lost Wild Card,10,6,0
1988,Los Angeles Rams,John Robinson,White,Lost Wild Card,10,6,0
2000,Los Angeles Rams,Mike Martz,White,Lost Wild Card,10,6,0
2017,Los Angeles Rams,Sean McVay,White,Lost Wild Card,11,5,0
2003,Baltimore Ravens,Brian Billick,White,Lost Wild Card,10,6,0
2018,Baltimore Ravens,John Harbaugh,White,Lost Wild Card,10,6,0
1995,Los Angeles Chargers,Bobby Ross,White,Lost Wild Card,9,7,0
2004,Los Angeles Chargers,Marty Schottenheimer,White,Lost Wild Card,12,4,0
1987,Seattle Seahawks,Chuck Knox,White,Lost Wild Card,9,6,0
1999,Seattle Seahawks,Mike Holmgren,White,Lost Wild Card,9,7,0
2003,Seattle Seahawks,Mike Holmgren,White,Lost Wild Card,10,6,0
2004,Seattle Seahawks,Mike Holmgren,White,Lost Wild Card,9,7,0
2018,Seattle Seahawks,Pete Carroll,White,Lost Wild Card,10,6,0
1985,San Francisco 49ers,Bill Walsh,White,Lost Wild Card,10,6,0
2001,San Francisco 49ers,Steve Mariucci,White,Lost Wild Card,12,4,0
1982,Tampa Bay Buccaneers,John McKay,White,Lost Wild Card,5,4,0
2000,Tampa Bay Buccaneers,Tony Dungy,Non-White,Lost Wild Card,10,6,0
2001,Tampa Bay Buccaneers,Tony Dungy,Non-White,Lost Wild Card,9,7,0
2005,Tampa Bay Buccaneers,Jon Gruden,White,Lost Wild Card,11,5,0
2007,Tampa Bay Buccaneers,Jon Gruden,White,Lost Wild Card,9,7,0
2007,Washington Redskins,Joe Gibbs,White,Lost Wild Card,9,7,0
2012,Washington Redskins,Mike Shanahan,White,Lost Wild Card,10,6,0
2015,Washington Redskins,Jay Gruden,White,Lost Wild Card,9,7,0
2019,Green Bay Packers,Matt LaFleur,White,Won Divisional Round,13,3,0
2019,Kansas City Chiefs,Andy Reid,White,Won Divisional Round,12,4,0
2019,Tennessee Titans,Mike Vrabel,White,Won Divisional Round,9,7,0
2019,San Francisco 49ers,Kyle Shanahan,White,Won Divisional Round,13,3,0
1985,Chicago Bears,Mike Ditka,White,Won Super Bowl,15,1,0
2006,Indianapolis Colts,Tony Dungy,Non-White,Won Super Bowl,12,4,0
1971,Dallas Cowboys,Tom Landry,White,Won Super Bowl,11,3,0
1977,Dallas Cowboys,Tom Landry,White,Won Super Bowl,12,2,0
1992,Dallas Cowboys,Jimmy Johnson,White,Won Super Bowl,13,3,0
1993,Dallas Cowboys,Jimmy Johnson,White,Won Super Bowl,12,4,0
1995,Dallas Cowboys,Barry Switzer,White,Won Super Bowl,12,4,0
1997,Denver Broncos,Mike Shanahan,White,Won Super Bowl,12,4,0
1998,Denver Broncos,Mike Shanahan,White,Won Super Bowl,14,2,0
2015,Denver Broncos,Gary Kubiak,White,Won Super Bowl,12,4,0
1966,Green Bay Packers,Vince Lombardi,White,Won Super Bowl,12,2,0
1967,Green Bay Packers,Vince Lombardi,White,Won Super Bowl,9,4,1
1996,Green Bay Packers,Mike Holmgren,White,Won Super Bowl,13,3,0
2010,Green Bay Packers,Mike McCarthy,White,Won Super Bowl,10,6,0
1969,Kansas City Chiefs,Hank Stram,White,Won Super Bowl,11,3,0
1972,Miami Dolphins,Don Shula,White,Won Super Bowl,14,0,0
1973,Miami Dolphins,Don Shula,White,Won Super Bowl,12,2,0
2009,New Orleans Saints,Sean Payton,White,Won Super Bowl,13,3,0
2001,New England Patriots,Bill Belichick,White,Won Super Bowl,11,5,0
2003,New England Patriots,Bill Belichick,White,Won Super Bowl,14,2,0
2004,New England Patriots,Bill Belichick,White,Won Super Bowl,14,2,0
2014,New England Patriots,Bill Belichick,White,Won Super Bowl,12,4,0
2016,New England Patriots,Bill Belichick,White,Won Super Bowl,14,2,0
2018,New England Patriots,Bill Belichick,White,Won Super Bowl,11,5,0
1986,New York Giants,Bill Parcells,White,Won Super Bowl,14,2,0
1990,New York Giants,Bill Parcells,White,Won Super Bowl,13,3,0
2007,New York Giants,Tom Coughlin,White,Won Super Bowl,10,6,0
2011,New York Giants,Tom Coughlin,White,Won Super Bowl,9,7,0
1968,New York Jets,Weeb Ewbank,White,Won Super Bowl,11,3,0
2017,Philadelphia Eagles,Doug Pederson,White,Won Super Bowl,13,3,0
1974,Pittsburgh Steelers,Chuck Noll,White,Won Super Bowl,10,3,1
1975,Pittsburgh Steelers,Chuck Noll,White,Won Super Bowl,12,2,0
1978,Pittsburgh Steelers,Chuck Noll,White,Won Super Bowl,14,2,0
1979,Pittsburgh Steelers,Chuck Noll,White,Won Super Bowl,12,4,0
2005,Pittsburgh Steelers,Bill Cowher,White,Won Super Bowl,11,5,0
2008,Pittsburgh Steelers,Mike Tomlin,Non-White,Won Super Bowl,12,4,0
1976,Oakland Raiders,John Madden,White,Won Super Bowl,13,1,0
1980,Oakland Raiders,Tom Flores,Non-White,Won Super Bowl,11,5,0
1983,Oakland Raiders,Tom Flores,Non-White,Won Super Bowl,12,4,0
1999,Los Angeles Rams,Dick Vermeil,White,Won Super Bowl,13,3,0
2000,Baltimore Ravens,Brian Billick,White,Won Super Bowl,12,4,0
2012,Baltimore Ravens,John Harbaugh,White,Won Super Bowl,10,6,0
2013,Seattle Seahawks,Pete Carroll,White,Won Super Bowl,13,3,0
1981,San Francisco 49ers,Bill Walsh,White,Won Super Bowl,13,3,0
1984,San Francisco 49ers,Bill Walsh,White,Won Super Bowl,15,1,0
1988,San Francisco 49ers,Bill Walsh,White,Won Super Bowl,10,6,0
1989,San Francisco 49ers,George Seifert,White,Won Super Bowl,14,2,0
1994,San Francisco 49ers,George Seifert,White,Won Super Bowl,13,3,0
2002,Tampa Bay Buccaneers,Jon Gruden,White,Won Super Bowl,12,4,0
1982,Washington Redskins,Joe Gibbs,White,Won Super Bowl,8,1,0
1987,Washington Redskins,Joe Gibbs,White,Won Super Bowl,11,4,0
1991,Washington Redskins,Joe Gibbs,White,Won Super Bowl,14,2,0
